Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Wardha,2001,1236736,571944,597746,865556,486736,378820,371180,152254,218926,157229,85131,72098,550351,348611,201740,686385,290379,396006
Warangal,2001,3246004,983258,1601109,1595745,973527,622218,1650259,671368,978891,389663,167692,221971,1566237,894022,672215,1679767,750873,928894
Vizianagaram,2001,2249254,1604253,1129713,997482,605038,392444,1251772,514503,737269,290199,147382,142817,1174164,669958,504206,1075090,449583,625507
Visakhapatnam,2001,3832336,2856300,1902139,2002316,1171082,831234,1830020,759115,1070905,265160,152256,112904,1602761,1069542,533219,2229575,860655,1368920
Virudhunagar,2001,1751301,1740329,880925,1136574,641062,495512,614727,229314,385413,153228,74737,78491,881803,517681,364122,869498,352695,516803
Viluppuram,2001,2960373,2397102,1467931,1650528,977374,673154,1309845,515068,794777,430756,228566,202190,1445177,857530,587647,1515196,634912,880284
Vidisha,2001,1214857,706591,567019,608083,392534,215549,606774,255304,351470,100508,74861,25647,451787,331391,120396,763070,316447,446623
Vellore,2001,3477317,307868,1736234,2203552,1245076,958476,1273765,496007,777758,232731,131138,101593,1427180,951805,475375,2050137,789278,1260859
Varanasi,2001,3138671,1308223,1489484,1694405,1050613,643792,1444266,598574,845692,37355,22907,14448,982054,736778,245276,2156617,912409,1244208
Valsad,2001,1410553,2712650,675754,833257,489578,343679,577296,245221,332075,75508,44546,30962,650257,421703,228554,760296,313096,447200
Vaishali,2001,2718421,1165390,1302818,1098151,717734,380417,1620270,697869,922401,232598,192367,40231,782717,640621,142096,1935704,774982,1160722
Vadodara,2001,3641802,1282143,1744434,2228008,1309347,918661,1413794,588021,825773,272253,183680,88573,1518845,1059861,458984,2122957,837507,1285450
Uttarkashi,2001,295013,274108,142997,161161,105663,55498,133852,46353,87499,941,606,335,135904,73398,62506,159109,78618,80491
Uttara Kannada,2001,1353644,1790952,666768,904024,505270,398754,449620,181606,268014,46330,27994,18336,581278,395869,185409,772366,291007,481359
Uttar Dinajpur,2001,2441794,1317063,1182057,923477,583960,339517,1518317,675777,842540,245303,187670,57633,935524,653677,281847,1506270,606060,900210
Upper Subansiri,2001,55346,628240,27106,22379,13547,8832,32967,14693,18274,168,113,55,22415,12566,9849,32931,15674,17257
Upper Siang,2001,33363,NA,15306,13424,8733,4691,19939,9324,10615,359,254,105,17105,10335,6770,16258,7722,8536
Unnao,2001,2700324,1504320,1277815,1215090,778699,436391,1485234,643810,841424,82609,68910,13699,926335,711807,214528,1773989,710702,1063287
Una,2001,448273,1609172,223749,312278,168450,143828,135995,56074,79921,3865,3228,637,201658,118768,82890,246615,105756,140859
Umaria,2001,515963,3295789,250835,247303,156899,90404,268660,108229,160431,31285,18899,12386,217537,133913,83624,298426,131215,167211
Ukhrul,2001,140778,NA,67313,87549,50208,37341,53229,23257,29972,761,374,387,66515,35870,30645,74263,37595,36668
Ujjain,2001,1710982,NA,828111,1014882,613726,401156,696100,269145,426955,102995,59384,43611,755288,474732,280556,955694,408139,547555
Udupi,2001,1112243,719487,590012,810584,409135,401449,301659,113096,188563,57893,28956,28937,488173,287951,200222,624070,234280,389790
Udhampur,2001,743509,1083949,343823,343429,225888,117541,400080,173798,226282,2836,2389,447,366430,231125,135305,377079,168561,208518
Udham Singh Nagar,2001,1235614,113989,586130,659165,402308,256857,576449,247176,329273,57110,49162,7948,392156,311946,80210,843458,337538,505920
Udaipur,2001,2633312,1897730,1297308,1255399,797694,457705,1377913,538310,839603,28605,17436,11169,1100880,687892,412988,1532432,648112,884320
Tumkur,2001,2584711,1503178,1270910,1525485,887341,638144,1059226,426460,632766,167365,83077,84288,1316939,791428,525511,1267772,522373,745399
Tuensang,2001,414818,220490,196140,180186,103932,76254,234632,114746,119886,2586,1412,1174,184924,100726,84198,229894,117952,111942
Tonk,2001,1211671,2341094,585235,513474,359906,153568,698197,266530,431667,22541,10973,11568,532682,308685,223997,678989,317751,361238
Tiruvannamalai,2001,2186125,2601797,1090266,1297151,761403,535748,888974,334456,554518,246478,121808,124670,1064783,633166,431617,1121342,462693,658649
Tirunelveli,2001,2723988,2285395,1390049,1829064,997278,831786,894924,336661,558263,277669,166399,111270,1281117,737911,543206,1442871,596028,846843
