Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Aurangabad,2008,1809863,934813,875050,1012612,633998,378614,797251,300815,496436,862701,482536,380165,208562,99865,108697,947162,452277,494885
Aurangabad,2008,1809863,934813,875050,1012612,633998,378614,797251,300815,496436,862701,482536,380165,208562,99865,108697,947162,452277,494885
Auraiya,2008,168967,89620,79347,116500,66300,50200,52467,23320,29147,43269,38894,4375,1857,1734,123,125698,50726,74972
Auraiya,2008,1011026,546142,464884,563940,352305,211635,447086,193837,253249,344991,268981,76010,40231,34887,5344,666035,277161,388874
Ariyalur,2008,78985,39093,39892,53845,29506,24339,25140,9587,15553,27681,20813,6868,3373,2431,942,51304,18280,33024
Ariyalur,2008,616539,307670,308869,334760,202879,131881,281779,104791,176988,318210,180383,137827,85144,46160,38984,298329,127287,171042
Araria,2008,132351,70903,61448,66233,40704,25529,66118,30199,35919,36012,32052,3960,5413,4264,1149,96339,38851,57488
Araria,2008,2026257,1057202,969055,523446,370485,152961,1502811,686717,816094,817433,555285,262148,387273,285462,101811,1208824,501917,706907
Anugul,2008,158416,85866,72550,118427,69276,49151,39989,16590,23399,50564,43830,6734,418,298,120,107852,42036,65816
Anugul,2008,981587,501368,480219,553006,339984,213022,428581,161384,267197,403006,262379,140627,45804,32537,13267,578581,238989,339592
South Andaman,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North  & Middle Andaman,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sivasagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sivasagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singrauli,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simdega,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simdega,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singrauli,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shupiyan,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shahid Bhagat Singh Nagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shahid Bhagat Singh Nagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shupiyan,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North  & Middle Andaman,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North  District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Andaman,2008,116198,64011,52187,89047,51782,37265,27151,12229,14922,42202,35812,6390,106,95,11,73996,28199,45797
North  District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narayanpur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narayanpur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New NCT OF DELHI,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New NCT OF DELHI,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palwal,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palwal,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peren,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peren,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tapi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tapi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samba,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samba,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sahibzada Ajit Singh Nagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sahibzada Ajit Singh Nagar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribhoi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribhoi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramgarh,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramgarh,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rangareddy,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rangareddy,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reasi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reasi,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramban,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramban,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajouri,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajouri,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramanagara,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramanagara,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Subarnapur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Subarnapur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarn Taran,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarn Taran,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saraikela-Kharsawan,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saraikela-Kharsawan,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Potti Sriramulu Nellore,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Potti Sriramulu Nellore,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andamans,2008,197886,106308,91578,137553,79441,58112,60333,26867,33466,74429,59549,14880,2482,2290,192,123457,46759,76698
Anantnag,2008,168363,91387,76976,92915,59287,33628,75448,32100,43348,52630,44673,7957,1636,1486,150,115733,46714,69019
Anantnag,2008,1004071,518620,485451,370282,240623,129659,633789,277997,355792,342358,235636,106722,16105,14562,1543,661713,282984,378729
Anantapur,2008,919563,467683,451880,559723,325079,234644,359840,142604,217236,320334,248042,72292,17283,9862,7421,599229,219641,379588
Anantapur,2008,2720915,1391905,1329010,1214365,778963,435402,1506550,612942,893608,1457202,827414,629788,445009,214146,230863,1263713,564491,699222
Anand,2008,507971,265315,242656,367885,207878,160007,140086,57437,82649,169370,136275,33095,16885,12358,4527,338601,129040,209561
Anand,2008,1348901,706685,642216,825519,510031,315488,523382,196654,326728,615341,399169,216172,171920,130592,41328,733560,307516,426044
Amritsar,2008,1223275,656958,566317,835785,466563,369222,387490,190395,197095,395714,340976,54738,10022,8575,1447,827561,315982,511579
Amritsar,2008,1872802,993631,879171,958214,557885,400329,914588,435746,478842,716486,529957,186529,118799,98156,20643,1156316,463674,692642
Amreli,2008,312958,161277,151681,209426,118375,91051,103532,42902,60630,101589,84208,17381,4182,3081,1101,211369,77069,134300
Amreli,2008,1080960,540316,540644,580552,337650,242902,500408,202666,297742,499230,301840,197390,92069,60127,31942,581730,238476,343254
Amravati,2008,899579,465227,434352,698985,378142,320843,200594,87085,113509,279448,229722,49726,40012,26188,13824,620131,235505,384626
Amravati,2008,1707581,880387,827194,1157564,654404,503160,550017,225983,324034,816174,494297,321877,388613,222180,166433,891407,386090,505317
Ambedkar Nagar,2008,181093,94107,86986,108454,61781,46673,72639,32326,40313,48966,42487,6479,1594,1409,185,132127,51620,80507
Ambedkar Nagar,2008,1845783,930846,914937,846083,525271,320812,999700,405575,594125,629014,416816,212198,78654,54987,23667,1216769,514030,702739
Ambala,2008,357028,193045,163983,269852,152729,117123,87176,40316,46860,116538,101593,14945,665,530,135,240490,91452,149038
Ambala,2008,657383,349932,307451,392937,232099,160838,264446,117833,146613,207983,175039,32944,23627,22015,1612,449400,174893,274507
Alwar,2008,434939,236984,197955,301602,182944,118658,133337,54040,79297,138620,115634,22986,808,572,236,296319,121350,174969
Alwar,2008,2557653,1349768,1207885,1186679,815309,371370,1370974,534459,836515,1320066,726177,593889,43456,28348,15108,1237587,623591,613996
Almora,2008,54505,30720,23785,44860,26223,18637,9645,4497,5148,17548,15198,2350,41,38,3,36957,15522,21435
Almora,2008,576062,263128,312934,347780,190946,156834,228282,72182,156100,274634,115635,158999,1144,588,556,301428,147493,153935
Allahabad,2008,1206785,664023,542762,845271,502832,342439,361514,161191,200323,313624,267510,46114,3543,2897,646,893161,396513,496648
Allahabad,2008,3729320,1962425,1766895,1661671,1132555,529116,2067649,829870,1237779,1357725,871477,486248,153006,104331,48675,2371595,1090948,1280647
Aligarh,2008,864694,460946,403748,454596,270975,183621,410098,189971,220127,220797,198594,22203,5418,5008,410,643897,262352,381545
Aligarh,2008,2127592,1146456,981136,966008,667517,298491,1161584,478939,682645,695501,533336,162165,88693,78918,9775,1432091,613120,818971
Alappuzha,2008,621457,301662,319795,518771,257958,260813,102686,43704,58982,221254,155478,65776,6115,3553,2562,400203,146184,254019
Alappuzha,2008,1487703,712867,774836,1240207,607328,632879,247496,105539,141957,502100,345761,156339,42763,28967,13796,985603,367106,618497
Akola,2008,627497,323788,303709,463158,252750,210408,164339,71038,93301,187041,156666,30375,24204,15772,8432,440456,167122,273334
Akola,2008,1002742,517465,485277,672087,386733,285354,330655,130732,199923,461202,279125,182077,247488,134807,112681,541540,238340,303200
Ajmer,2008,874676,460017,414659,614653,356056,258597,260023,103961,156062,259233,219506,39727,1215,788,427,615443,240511,374932
Ajmer,2008,1306994,669903,637091,554203,386479,167724,752791,283424,469367,597576,343110,254466,35345,18165,17180,709418,326793,382625
Aizawl,2008,248145,126544,121601,208289,106376,101913,39856,20168,19688,113003,67631,45372,2227,1373,854,135142,58913,76229
Aizawl,2008,77531,40333,37198,61410,32407,29003,16121,7926,8195,49958,26850,23108,918,566,352,27573,13483,14090
Ahmadnagar,2008,803697,421242,382455,591318,333539,257779,212379,87703,124676,271663,211806,59857,14614,8074,6540,532034,209436,322598
Ahmadnagar,2008,3236945,1661811,1575134,2007279,1183490,823789,1229666,478321,751345,1585383,883644,701739,344311,167790,176521,1651562,778167,873395
Ahmadabad,2008,4663533,2473431,2190102,3410195,1931015,1479180,1253338,542416,710922,1496723,1299682,197041,12393,8939,3454,3166810,1173749,1993061
Ahmadabad,2008,1152986,601125,551861,601945,387280,214665,551041,213845,337196,512642,332541,180101,126035,88993,37042,640344,268584,371760
Agra,2008,1567709,847172,720537,922729,549407,373322,644980,297765,347215,402342,361525,40817,5455,4733,722,1165367,485647,679720
Agra,2008,2052727,1114110,938617,930190,649584,280606,1122537,464526,658011,581963,502585,79378,62273,57727,4546,1470764,611525,859239
Adilabad,2008,660017,335891,324126,400364,230725,169639,259653,105166,154487,192664,154688,37976,5508,3338,2170,467353,181203,286150
Y.S.R.,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yadgir,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yadgir,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y.S.R.,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West District,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Bastar Kanker,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Bastar Kanker,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udalguri,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiruppur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiruppur,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Udalguri,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adilabad,2008,1827986,915067,912919,711825,457347,254478,1116161,457720,658441,930584,505794,424790,201645,99698,101947,897402,409273,488129
WEST BENGAL,2009,22427251,11849976,10577275,16356374,9191040,7165334,6070877,2658936,3411941,7592048,6368163,1223885,78019,65994,12025,14835203,5481813,9353390
WEST BENGAL,2009,57748946,29616009,28132937,30840027,18261386,12578641,26908919,11354623,15554296,21889642,16019881,5869761,4444915,3678911,766004,35859304,13596128,22263176
UTTARANCHAL,2009,2179074,1181334,997740,1540435,894555,645880,638639,286779,351860,635194,559466,75728,10190,9007,1183,1543880,621868,922012
UTTARANCHAL,2009,6310275,3144590,3165685,3565347,2114320,1451027,2744928,1030270,1714658,2498842,1436711,1062131,132434,113792,18642,3811433,1707879,2103554
UTTAR PRADESH,2009,34539582,18407899,16131683,20349500,11951234,8398266,14190082,6456665,7733417,9307872,8210873,1096999,289052,259671,29381,25231710,10197026,15034684
UTTAR PRADESH,2009,131658339,69157470,62500869,55369784,36950179,18419605,76288555,32207291,44081264,44675952,32770685,11905267,5667495,4556706,1110789,86982387,36386785,50595602
TRIPURA,2009,545750,278587,267163,439324,234193,205131,106426,44394,62032,177114,143864,33250,2505,2196,309,368636,134723,233913
TRIPURA,2009,2653453,1363638,1289815,1582775,916514,666261,1070678,447124,623554,982447,687482,294965,166014,124981,41033,1671006,676156,994850
TAMIL NADU,2009,27483998,13869415,13614583,20205047,10973973,9231074,7278951,2895442,4383509,10318514,7739671,2578843,862684,505575,357109,17165484,6129744,11035740
TAMIL NADU,2009,34921681,17531494,17390187,20319498,11835689,8483809,14602183,5695805,8906378,17559768,10360726,7199042,5200102,2768067,2432035,17361913,7170768,10191145
SIKKIM,2009,59870,32710,27160,42957,24589,18368,13841,6323,7518,22716,17081,5635,28,18,10,34082,13831,20251
SIKKIM,2009,480981,255774,225207,191178,113156,78022,128589,57090,71499,163506,100179,63327,5557,3539,2018,156261,70067,86194
RAJASTHAN,2009,13214375,6993371,6221004,8496586,5100831,3395755,4717789,1892540,2825249,3910232,3316266,593966,42937,31087,11850,9304143,3677105,5627038
RAJASTHAN,2009,43292813,22426640,20866173,19205424,12946326,6259098,24087389,9480314,14607075,19856423,11379536,8476887,965480,623075,342405,23436390,11047104,12389286
PUDUCHERRY,2009,648619,323258,325361,486346,259817,226529,162273,63441,98832,214889,169684,45205,10041,7149,2892,433730,153574,280156
PUDUCHERRY,2009,325726,163703,162023,210021,118941,91080,115705,44762,70943,127766,88986,38780,49553,29482,20071,197960,74717,123243
PUNJAB,2009,8262511,4468449,3794062,5748539,3250916,2497623,2513972,1217533,1296439,2767123,2371164,395959,74220,64943,9277,5495388,2097285,3398103
PUNJAB,2009,16096488,8516596,7579892,9008431,5191377,3817054,7088057,3325219,3762838,6360351,4589049,1771302,983402,827926,155476,9736137,3927547,5808590
ODISHA,2009,5517238,2911600,2605638,3924451,2258801,1665650,1592787,652799,939988,1689519,1428311,261208,40966,31581,9385,3827719,1483289,2344430
ODISHA,2009,31287422,15748970,15538452,15912604,9733532,6179072,15374818,6015438,9359380,12586969,8373695,4213274,2057192,1538863,518329,18700453,7375275,11325178
NAGALAND,2009,342787,187425,155362,249397,142020,107377,93390,45405,47985,106357,82109,24248,554,306,248,236430,105316,131114
NAGALAND,2009,1647249,859716,787533,882926,498181,384745,764323,361535,402788,741439,406859,334580,11505,7024,4481,905810,452857,452953
MANIPUR,2009,575968,286681,289287,397252,220428,176824,178716,66253,112463,222126,128842,93284,8410,5034,3376,353842,157839,196003
MANIPUR,2009,1590820,808953,781867,913282,533038,380244,677538,275915,401623,723087,398374,324713,33409,20353,13056,867733,410579,457154
MIZORAM,2009,441006,226383,214623,363106,187225,175881,77900,39158,38742,211115,124153,86962,6789,4112,2677,229891,102230,127661
MIZORAM,2009,447567,232726,214841,298339,162880,135459,149228,69846,79382,256044,138855,117189,4051,2598,1453,191523,93871,97652
MEGHALAYA,2009,454111,229088,225023,333702,173517,160185,120409,55571,64838,147615,100396,47219,3294,2044,1250,306496,128692,177804
MEGHALAYA,2009,1864711,946999,917712,824173,440755,383418,1040538,506244,534294,822531,468095,354436,91644,58144,33500,1042180,478904,563276
MAHARASHTRA,2009,41100980,21941919,19159061,30652673,17473167,13179506,10448307,4468752,5979555,13911920,11503459,2408461,359154,210367,148787,27189060,10438460,16750600
MAHARASHTRA,2009,55777647,28458677,27318970,33313270,19711796,13601474,22464377,8746881,13717496,27261431,15348636,11912795,7282065,3731285,3550780,28516216,13110041,15406175
MADHYA PRADESH,2009,15967145,8412559,7554586,10820306,6280269,4540037,5146839,2132290,3014549,4893293,3988452,904841,156034,99722,56312,11073852,4424107,6649745
MADHYA PRADESH,2009,44380878,23031093,21349785,20772257,13392005,7380252,23608621,9639088,13969533,20900226,12205916,8694310,3724871,2294176,1430695,23480652,10825177,12655475
LAKSHADWEEP,2009,26967,13940,13027,20737,11312,9425,6230,2628,3602,7347,6220,1127,NA,NA,NA,19620,7720,11900
LAKSHADWEEP,2009,33683,17191,16492,23946,13199,10747,9737,3992,5745,8007,6984,1023,NA,NA,NA,25676,10207,15469
KERALA,2009,8266925,4017332,4249593,6832319,3395962,3436357,1434606,621370,813236,2612777,2033258,579519,71395,49851,21544,5654148,1984074,3670074
KERALA,2009,23574449,11451282,12123167,18653369,9357640,9295729,4921080,2093642,2827438,7671110,5732387,1938723,950164,664921,285243,15903339,5718895,10184444
KARNATAKA,2009,17961529,9249960,8711569,12662850,7012120,5650730,5298679,2237840,3060839,6406988,4981103,1425885,233564,133734,99830,11554541,4268857,7285684
KARNATAKA,2009,34889033,17648958,17240075,17772112,10649091,7123021,17116921,6999867,10117054,17127803,10254252,6873551,3550288,1827634,1722654,17761230,7394706,10366524
JHARKHAND,2009,5993741,3205441,2788300,4073471,2408021,1665450,1920270,797420,1122850,1539439,1357713,181726,16606,13296,3310,4454302,1847728,2606574
JHARKHAND,2009,20952088,10679596,10272492,7703730,5238836,2464894,13248358,5440760,7807598,8569591,5302143,3267448,1035719,744805,290914,12382497,5377453,7005044
JAMMU & KASHMIR,2009,2516638,1383274,1133364,1615208,991010,624198,901430,392264,509166,829129,711392,117737,9889,9136,753,1687509,671882,1015627
JAMMU & KASHMIR,2009,7627062,3977652,3649410,3192078,2069618,1122460,4434984,1908034,2526950,2924686,1968549,956137,93200,84177,9023,4702376,2009103,2693273
HIMACHAL PRADESH,2009,595581,331867,263714,474165,274252,199913,121416,57615,63801,220110,179947,40163,812,675,137,375471,151920,223551
HIMACHAL PRADESH,2009,5482319,2756073,2726246,3567456,2004134,1563322,1914863,751939,1162924,2772351,1506711,1265640,35344,25824,9520,2709968,1249362,1460606
HARYANA,2009,6115304,3310965,2804339,4165224,2436821,1728403,1950080,874144,1075936,1925879,1629905,295974,28875,22715,6160,4189425,1681060,2508365
HARYANA,2009,15029260,8052988,6976272,7928453,5043388,2885065,7100807,3009600,4091207,6451587,4085621,2365966,578996,439739,139257,8577673,3967367,4610306
GOA,2009,670577,346703,323874,502947,275444,227503,167630,71259,96371,248403,189570,58833,1629,1004,625,422174,157133,265041
GOA,2009,677091,340545,336546,482615,265588,217027,194476,74957,119519,274452,185648,88804,10213,5854,4359,402639,154897,247742
GUJARAT,2009,18930250,10067806,8862444,13489753,7717732,5772021,5440497,2350074,3090423,6262209,5427848,834361,127400,90348,37052,12668041,4639958,8028083
GUJARAT,2009,31740767,16317771,15422996,16337997,10115541,6222456,15402770,6202230,9200540,14993312,9049438,5943874,2921313,1913788,1007525,16747455,7268333,9479122
NCT OF DELHI,2009,12905780,7085147,5820633,9050813,5322741,3728072,3854967,1762406,2092561,4244170,3702069,542101,5726,4178,1548,8661610,3383078,5278532
NCT OF DELHI,2009,944727,522087,422640,613951,378106,235845,330776,143981,186795,301064,258032,43032,4903,3897,1006,643663,264055,379608
DAMAN & DIU,2009,57348,28906,28442,41159,22896,18263,16189,6010,10179,20311,15551,4760,31,19,12,37037,13355,23682
DAMAN & DIU,2009,100856,63606,37250,66441,48096,18345,34415,15510,18905,52480,45018,7462,414,244,170,48376,18588,29788
DADRA & NAGAR HAVELI,2009,50463,29834,20629,36007,23358,12649,14456,6476,7980,22580,19580,3000,199,127,72,27883,10254,17629
DADRA & NAGAR HAVELI,2009,170027,91832,78195,67897,48791,19106,102130,43041,59089,91542,56255,35287,6746,3387,3359,78485,35577,42908
CHHATTISGARH,2009,4185747,2166775,2018972,2896583,1664236,1232347,1289164,502539,786625,1302197,1035880,266317,37000,19529,17471,2883550,1130895,1752655
CHHATTISGARH,2009,16648056,8307443,8340613,8276566,5047159,3229407,8371490,3260284,5111206,8377674,4495979,3881695,1515083,807159,707924,8270382,3811464,4458918
CHANDIGARH,2009,808515,450122,358393,584515,342999,241516,224000,107123,116877,300219,248126,52093,223,175,48,508296,201996,306300
CHANDIGARH,2009,92120,56816,35304,58730,39687,19043,33390,17129,16261,40203,36293,3910,222,202,20,51917,20523,31394
BIHAR,2009,8681800,4648799,4033001,5232658,3131366,2101292,3449142,1517433,1931709,2222037,1938181,283856,188738,151108,37630,6459763,2710618,3749145
BIHAR,2009,74316709,38594996,35721713,25876919,17513010,8363909,48439790,21081986,27357804,25752569,18544822,7207747,8831413,6730061,2101352,48564140,20050174,28513966
ANDHRA PRADESH,2009,20808940,10590209,10218731,13892871,7724531,6168340,6916069,2865678,4050391,6720971,5375091,1345880,305499,188524,116975,14087969,5215118,8872851
ANDHRA PRADESH,2009,55401067,27937204,27463863,26041452,15720257,10321195,29359615,12216947,17142668,28172888,16287101,11885787,9517765,4952490,4565275,27228179,11650103,15578076
ASSAM,2009,3439240,1837092,1602148,2599061,1466741,1132320,840179,370351,469828,1141822,971756,170066,6062,4913,1149,2297418,865336,1432082
ASSAM,2009,23216288,11939945,11276343,11416293,6721956,4694337,11799995,5217989,6582006,8396769,5899204,2497565,630289,535856,94433,14819519,6040741,8778778
ARUNACHAL PRADESH,2009,227881,125261,102620,149501,90866,58635,78380,34395,43985,80892,63292,17600,680,507,173,146989,61969,85020
ARUNACHAL PRADESH,2009,870087,454680,415407,335284,212415,122869,534803,242265,292538,402010,230320,171690,9969,6574,3395,468077,224360,243717
ANDAMAN & NICOBAR ISLANDS,2009,116198,64011,52187,89047,51782,37265,27151,12229,14922,42202,35812,6390,106,95,11,73996,28199,45797
UTTARAKHAND,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UTTARAKHAND,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TELANGANA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TELANGANA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,2009,239954,128961,110993,164088,95049,69039,75866,33912,41954,94052,73350,20702,2577,2375,202,145902,55611,90291
India,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zunheboto,2009,23081,12618,10463,17478,9797,7681,5603,2821,2782,6878,4826,2052,123,26,97,16203,7792,8411
Zunheboto,2009,130874,66438,64436,71661,38910,32751,59213,27528,31685,49905,26284,23621,560,252,308,80969,40154,40815
Yavatmal,2009,457211,236141,221070,343075,189601,153474,114136,46540,67596,140654,115230,25424,12708,7413,5295,316557,120911,195646
Yavatmal,2009,2001060,1029540,971520,1194702,714038,480664,806358,315502,490856,978283,559693,418590,418526,217386,201140,1022777,469847,552930
Yanam,2009,31394,15893,15501,19861,10739,9122,11533,5154,6379,9903,8310,1593,1867,1474,393,21491,7583,13908
Yanam,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamunanagar,2009,393022,211904,181118,280488,158879,121609,112534,53025,59509,115983,104510,11473,1743,1656,87,277039,107394,169645
Yamunanagar,2009,648608,347540,301068,358223,216583,141640,290385,130957,159428,220550,175779,44771,35687,33404,2283,428058,171761,256297
Wokha,2009,37636,20411,17225,29984,16731,13253,7652,3680,3972,8499,6200,2299,80,38,42,29137,14211,14926
Wokha,2009,123587,63259,60328,82214,45248,36966,41373,18011,23362,47755,25286,22469,151,83,68,75832,37973,37859
